userName,score,at,content,Label
Reno Rizkallah,2,2023-07-25 14:25:34,"Game bagus, tp sayang setau saya ini game udh rilis lumayan lama beberapa bulan yg lalu tp masih banyak kekurangannya dr segi loading lama, sering force close, fps dilimit dgn grafis tertentu. Hp saya sekelas chipset medium cuma dpt di settingan standar yg kualitas Pixelnya keliatan pecah2 baru bisa 60 fps. Mudah2an segera diperbaiki",Negatif
Hari Prihastama,2,2023-07-21 22:41:13,"Perangkat samsung j4, Makuk game sebelum pemilihan server dan setelahnya loading lama. Di ingame klik menu misalkan daily nunggu responnya lama. Saat akan mvp lag klo lg hoki bisa sampe mati char saya gk bisa gerak di gebukin momon (karna lag) Untuk quest yg nyari jalan, gk bisa dikelarin karna waktu habis apalagi yg ngumpulin medal buat ngelawan boss dan miniboss yg perlu batas waktu loading screen bisa sampe 10-15dtk. Pindah map loading screen bisa sampe 10-15dtk. Bersiap* untuk pensi....",Negatif
Riki ./_,1,2023-08-20 03:49:40,"Game nya gak bisa log in, karena registrasi penuh, apaan coba, masa mau nyoba game nya gak di bolehin, padahal baru download, berharap bisa nyoba tadi😑😡",Negatif
Hilman Oktavian,4,2023-08-20 18:53:07,"Tolong perbaiki di masalah loading screen nya terlalu lambat bagi hp kentang walaupun grafik udah rata kiri,terasa masih lambat di loading screen nya.",Positif
Andhika,4,2023-07-31 08:45:00,"Gamenya bagus tapi sayangnya musiknya itu buat gak nyaman satu musik Prontera satunya musik ning ning ning disatuin jadi aneh. Dulu force close 97% tapi untuk diriku yang sekarang udah gak, thanks. Sama dialog pilihannya itu harusnya bisa digeser supaya bisa baca gak harus nunggu, kadang gak nyaman tidak tau yang ditanyain karakter sendiri itu apa gara gara tidak sabaran. Ada beberapa kata yang masih belum terjemahkan seperti di surat sama di pilihan dialog. Semoga lebih baik lagi kedepannya",Positif
Hesti Wahyuningsing,2,2023-08-22 06:45:57,Ok jujur game ini sih bagus ya cuman musiknya itu kayak apa gitu ya terus apalagi geme ini mahal kakakku gak bolehhin aku delownot ini tapi katanya boleh di coba di delownot terus habis udah puas baru di hapus gitu deh jadi kakakku gak suka game ini makanya dia gak bolehin aku main game ini maupun di delownot tapi kalo mau coba doang sing boleh ya tapi tetep kakakku gak suka gam inijadi aku kasih bintangnya segitu deh yaudah gitu aja penjelasan ku yaudah dadah🙏😁,Negatif
Aulia Putri,5,2023-08-13 01:02:23,"Gamenya bagus tapi sayang terkadang bug mulu,lagu dibenerin lagi soalnya kalo yang ini itu kurang nyaman aja gitu lho, terus di kasih rumah tapi pemain bisa masuk kalo yg ini kan ga bisa masuk, jadi tolong ya...untuk diperbaiki lagi makasih. see you😁🙏",Positif
wahyu endra,2,2023-08-26 06:23:11,"Kenapa saya disuruh download lagi 3 GB+ , padahal kapan lalu sudah 3Gb + 🤬. Bagaimana ini solusinya... Arrgghhh Turunin bintang dulu setelah balik naikin lagi. Sigh 🤔🥱",Negatif
aka wo,5,2023-09-02 22:05:55,"setelah update ke versi terbaru sekarang ini, stug di loading dan sudah di tunggu tidak ada perubahan sama sekali, saya merasa dirugikan karena tertinggal event"" nya, tolong dong di respon",Positif
fibri dwi anggraini,4,2023-07-23 19:49:36,"Tolong dong buat yg main di hp di ringan kan lagi, saya main masi ngelag"" jeda loding masa kena 10-15 detik, ngerjain quest yg pakek waktu itungan detik jadi gak siap"", padahal saya suka sama game nya. Tolong dong dev dibikin lancar buat yg main di hp🙏",Positif
Ahwal coc,4,2023-07-24 06:42:10,game nya bagus tapi untuk loading pindah map dan dungeon terlalu lama untuk android dan sinyal terlalu berat sehingga menyebabkan koneksi menjadi merah (lag) mungkin bisa disesuaikan untuk android,Positif
wiwing semriwing,3,2023-07-18 23:50:26,Sudah instal & main dr hari pertama launching.. untuk penilaian sebenarnya seru.. walaupun bbrpa kali ada bug yg cukup mengganggu.. sampai terakhir bug yg ckup menggangu adalah setelah minta update malah jd g bisa masuk sama sekali dengan alasan koneksi terputus dan silahkan login ulang.. pdhal koneksi g ada mslah dan g ada pilihan lain apakah harus di refresh atau redownload.. akhirnya terpaksa uninstal.. tq..,
Bennet Fischl,1,2023-07-19 21:20:31,"Padahal gamenya bagus, eventnya menarik, pengelolaannya baik. Tapi sayang job balancingnya malah TIDAK BALANCE. Job yang sudah OVERPOWER (Sniper, Paladin) di buff, sedangkan job yang lemah di NERF (Mastersmith, Alchemist) .",Negatif
Endah Fitriyastuti,1,2023-07-25 09:30:30,"Pembaruan updat tgl 14 juli. Sampai tadi siang masih bisa buka game. Pas liat playstore RO masuk ke list update, jadi aku update. Tapi kok malah nggak bisa login. Aku coba uninstal dan instal ulang masih nggak bisa login. Cuma ada notif kotak perbaiki di pojok kiri bawah. Ini kenapa ya",Negatif
Angga Saputra,1,2023-08-29 09:41:52,"apaan sih habis di update ke 2x nya 3,8GB, bukanya makin baik malah jadi males. setiap main 5menit langsung FC (ForceClose) terus.",Negatif
Lutfi Hasbullah,2,2023-08-15 17:24:12,"Banyak banget ya bug kalian, saya gk bisa buka menu skill dll selalu ngestuck, gimana mau ngatur skill dan status, setiap stuck pasti musti restart game aneh ya game kalian.",Negatif
Muh Raihan Ramadhan,5,2023-04-09 16:03:02,"Pada quest mengangkat pedang terjadi shock wave, walaupun sudah di ubah di pengaturan tidak terjadi perubahan:/ , karakter tidak bisa garak, analog tidak bisa berfungsi,bug yang biasa forclose sendiri, keluar dari aplikasi sendiri, infokan kalo sudah di perbaiki karena saya tidak mau terlambat leveling... Edit: sudah di uninstall, sedang menunggu update besar²nya baru kembali lagi",Positif
Tanifathsh (YO),4,2023-04-10 15:35:09,"Masalah fitur mini map masih kurang mudah dipahami, agak sulit mau menentukan tujuan kalo mengandalkan auto kurang nyaman dalam bergerak, karena saya tipe player yang sering mengandalkan mini map dalam mencari lokasi. Mohon di update untuk fitur mini map nya developer agar lebih mudah dipahami untuk next update",Positif
Abyan al yassar,3,2023-04-07 02:46:21,"Game nya bagus. Gameplay, story dan grafik oke. Cuman, terlalu banyak fitur, terlalu banyak tombol tombol yang ga terlalu penting yang cuman ngalangin visual, jadinya malah bikin pusing. Bagi player baru kayak saya terlalu banyak fitur dan tombol malah makin ga ngerti. Mending fiturnya ditambahkan setiap naik beberapa level, jangan langsung di satuin, malah orang-orang ga bisa mempelajari satu-satu.",
Yayat Hidayat,5,2023-08-22 17:01:19,"Mantap, betapa senangnya hati ku ,Sudah 4 jam download gagal selalu setelah hampir 4gb, ngulang lagi gagal lagi ,",Positif
Muhamad Suryanto,3,2023-04-20 17:03:57,"banyak sekali bug dan kekurangan... Pertama mini map yang kurang jelas atau membingungkan bahkan ini diharuskan menggunakan auto. Lalu kedua penjelasan skill yang membingungkan saat membangun karakter seperti M.ATK P.ATK sulit menentukan mana yang di butuhkan, ketiga game blm 100% full bahasa, empat terlalu banyak frame seperti nama tembus tembok, lima event yang tidak memiliki tutorial yang jelas, bahkan player selain saya kesulitan memahami bermain event dan masih banyak yang lainnya",
ARA,1,2023-09-02 02:19:29,Lama loding na mana aku gak bisa masuk lagi game aneh udah gua coba terus tetep gak bisa loding nya lama lagi bikin emosi aja ni game,Negatif
Mahadir Muhammad,2,2023-08-20 11:51:14,Bagus tapi baru kali ini dpat hambatan utk bermain. Habis update langsung g bs main lagi. Kecewa berat,Negatif
PERDANA JAYA KESUMA,1,2023-08-20 17:28:16,"Gilak yahhh Habis update malah nge hank, musti install ulang dulu baru bisa. ROO terberat dan terpanas sejauh ini ketimbang versi PS / US server... hadeuhhh",Negatif
Muhammad Yusrin Alfikri,5,2023-04-18 02:49:51,"Mantap banget wkwkwk gua awalnya underestimate, tapi sumpah keren banget grafik, walaupun gameplay masih kurang memuaskan karena: 1. Fitur auto quest yang terlalu membantu, jika gak pake fitur ini kita bakal cukup sulit nentuin arah harus kemananya",Positif
Muhammad Sofyan,3,2023-08-19 19:11:29,"Ini kenapa update baru gak bsa di download??mau pake wifi atau pkt data sama aj gak bsa update patch bru,selalu ulang di 98% trus",
muhammad nurhuda alidien,3,2023-04-14 16:24:59,"permisi developer, jujur saya suka dengan gameplay nya, secara grafik ataupun secara story nya ( walaupun saya belum selesai memilih job karakternya ) masalahnya di game ini banyak banget bug seperti nge freeze sendiri ( kadang karakternya tidak keliatan, hanya diperlihatkan latar belakangnya saja, dan kadang karakternya nge freeze saat melakukan quest nya ) itu tolong diperbaiki. sama klo bleh saran tambahin fitur buat sensitivitas buat kamera, karena di saya sensitivitas nya masih kurang.",
Fahmi Alifian,2,2023-05-27 14:02:53,"Capek, tiap mau main harus force closed di loading 97% mau masuk game. Memang grafiknya bagus, tapi ayolah ini terlalu banyak bugnya, yg analog ngefreze lah, mapnya tau² keluar dungeon, force close pas baru buka game, dan harus dicoba berkali² untuk bisa masuk.",Negatif
Arkhan Alqarni Wahyu,1,2023-09-01 13:11:16,"Setiap Update Game, Harus Download Ulang dari Awal lagi Yang ukurannya Lebih dari 4GB . Hal ini Kejadian yang berulang ulang. Perbaiki dong.",Negatif
محمد عزيز,3,2023-04-11 01:11:03,"Aku kasih bintang dlu soalnya dari segi grafis lumayan lah untuk ukuran segitu, dan ada yang sangat saya tidak suka yaitu setiap menjalankan quest/misi pasti terkena bug, npcnya ilang, dialog teksnya gak ada, dan jika kita memasuki bangunan pasti terkena bug loading kaga jalan di 0% terus udh di relog terus masuk lagi pasti terkena bug lainnya seperti tombol tombolnya ilang dll. Tolong perbaiki lah gamenya developer walaupun game baru rilis tolong perhatikan bugnya jangan ke fitur lainnya.",
Irfan Setiawan,1,2023-06-26 13:49:30,"Bikin kesel sama loadingnya yang lama. Nih ya asal lo tau waktu maen event extreme challenge gara gara loadingnya lama gw sampai ga bisa masuk arena battle, cuman bisa nonton aja jadi beban. Belum lagi kalau spacetime anomaly gara gara loadingnya bikin gw masuk saat detik ke 20, alhasil poin gw jadi kecil. Jaringannya selalu merah padahal wifi gw baik baik aja. Satu lagi main nih game terasa berat bgt mana patah patah lagi padahal device gw bukan kentang. Uninstall aja dah males. Udah muakkkkkkk",Negatif
ronny suryana,3,2023-06-25 08:15:24,"Menurut saya ada kekurangan dari segi slot skill yaitu banyak skill yg mesti diambil dan tidak terpakai karena slotnya hanya 12 dan itu harus di rotasi, untuk pengguna mage dan accolyte (support khususnya) itu akan sedikit kesulitan utk saya. Lalu untuk skill heal klw bisa dibuat area sekali heal, karena ribet jg ya ketika heal kita harus mengklik karakter atau klik partynya. Lalu persentase kartu dong dipermudah dan battletimenya dipertambah. Untuk keseluruhan menurut saya keren banget. Thanks",
Muhammad Muhyi,1,2023-08-30 12:24:24,"Kurang dari sebulan lalu saya update 3,8gb, dan sekarang setelah merger dan patch baru, harus download lagi 3,8 gb. Hellow... yang bener aja boss",Negatif
Zuoran,3,2023-07-06 05:11:58,"Optimalisasi gamenya kurang, pengaturan atau opsi pemilihan grafik pun terbatas, alhasil game terasa cukup berat. Padahal dibandingkan dengan game Seven Knights 2 yg memiliki world yang luas serta grafik bagus pun jauh lebih ringan Seven Knights 2. Tolong untuk developer kedepannya lebih fokus ke optimalisasi grafik serta menyediakan banyak opsi utk pengaturan grafik. Selain itu, beri kenyamanan & keistimewaan juga untuk para free player, servernya jangan ""beranak"", sediakan fitur cross server.",
Rifqy Naufal Mediantama,5,2023-07-29 05:04:21,"Sudah bagus sekarang games nya, saya pakai hape Oppie Reno 8 T lancar banget. Saya berharap diadakan event, fitur, atau job baru yang khas dari games Ragnarok lainnya",Positif
Fajri Antoni,2,2023-07-22 05:47:03,"Gara Gara servernya terlalu banyak,ini main di mobile loadingnya jadi lama,mau itu loading pindah map ataupun loading memasuki event,sangat mengganggu,tolong di repair",Negatif
Alena Ozora,1,2023-05-15 14:43:04,"Untuk grafis nya ok, permainan nya menyenangkan cuma bug nya byk bgt. Yg paling menjengkelkan adalah koneksi sering banget terputus. Pdhl wifi lancar aja buat maen di game lain, cuma main ini aja koneksi selalu buruk dan terputus. Tolong di perbaiki lagi.",Negatif
Firmansyah Wibowo,4,2023-07-07 03:14:28,"Gamenya bagus, petualangannya menarik, saya suka ada banyak job dan meningkatkan level, tapi kurangnya sulit sekali mendapatkan kartu ungu.. dan selalu sering terjadi bug... Semoga kedepannya lebih baik lagi..",Positif
Ryo darkness,4,2023-04-10 08:58:05,"Gamenya bagus tapi saat melakukan quest main story, ada kalanya mendapat surat atau semacam catatan penting, niatnya mau scroll untuk melihat semua isinya tapi malah ketutup dan tidak bisa dilihat lagi, sarannya kalau ada yang seperti surat atau catatan ada tombol tersendiri untuk menutup, kalau tidak, karena kesalahan sedikit isinya tidak terbaca,Tambahan: tolong buat agar saat sedang melakukan dialog maka akan kebal terhadap serangan, ± saya sudah mati 10 kali karena monster saat berdialog",Positif
Sinangdoyo Sinangdoyo,1,2023-05-18 15:30:54,"Baru saja install. Ternyata benar review jelek lain. Virtual joystick untuk berjalan sering macet, tidak ada petunjuk melakukan misi yang pasti, NPC kunci untuk misi tidak merespon, bila mau dibuat auto jalan atau menjalankan misi auto ya di auto saja. Jangan pas di dalam misi malah jadi manual, dan tidak ada petunjuk mau kemana. Untuk beberapa misi, view kamera tidak bisa diputar, jadi mau kemana jalan jadi sulit. Kalau masalah jaringan, dan kestabilan game sudah bagus.",Negatif
Dirga Brilliant,5,2023-04-11 11:11:46,"Sebagai salah satu pemain pertama yang memainkan game ini setelah launching benar benar bagus sih ini game, cuman mungkin karena masih awal awal rilis jadinya FPS nya kerasa belum stabil banget, kadang masih terasa ngeframenya, jadi saya harap mungkin selanjutnya FPS nya bisa di stabilin, ty. .",Positif
Fitria Ariyani,1,2023-08-25 01:32:49,"Suka banget bug, lag. Jadi saya harus sering bolak baik keluar masuk game. Setiap 5menit. Bagaimana menikmati permainan",Negatif
yosep wiryadi,5,2023-08-22 20:01:59,"Bagus banget game nya, animasi nya juga bagus hanya perlu kreasi sedikit, jalan cerita nya juga bagus",Positif
Putra Anggara,1,2023-08-06 23:16:05,"Baru aja main seminggu,game Uda tidak bisa dibuka, Kalau gak mau di perbaiki tolong tutup dari google play store Harap google play store mencabut izin game ini,jika pihak game tidak mengatasi kendala-kendala",Negatif
Bisma Putra Menggala (ユウキ),3,2023-04-09 11:39:33,"Game ini kurang worth it buat di mainin di handphone spek kentang, karena memakan ram yang sangat banyak sehingga terjadi lag yang berkepanjangan, mau di ubah grafik ke paling rendah juga sama saja. lalu untuk tombol-tombol nya sering sekali terjadi delay, dan itu sangat mengganggu. Size game ini kemungkinan bisa sampai ±6GB.",
Septianus Nugroho,2,2023-08-18 19:40:26,"Kenapa nih habis update di playstore malah ga bisa login, update bukan kualitas tambah baik malah semakin buruk",Negatif
Bangsat Bajingan,3,2023-04-17 05:49:27,"Ketika saya ingin melihat ransel, event, map, profile dll selalu saja untuk melihat hal itu tidak terlihat/tidak muncu, mohon di perbaiki servernya para developers, karna ketika jaringan saya yang selalu ngelag² saya tidak bisa menekan fitur² yang ada di game dan ketika mau menyelesaikan guest selalu saja tidak bisa menekan fitur nya,",
Muh. Faizal Hamzah Sudiro,5,2023-04-12 23:32:44,"Game nya bagus, cross platform lg ... Saya suka ... Hampir tiidak berubah dari dulu .... Cuman masalah nya, bug nya cepet di beresin dong 🤣🤣 saya agak risih liat job assasin katar weapon 1 lg gk di pegang melainkan melayang² ... Sama yg di pc mohon pencerahan nya saya stuck di awal, di initialize, tidak maju² sama sekali sudah ganti koneksi tapi masih saja tidak bisa ... 🙏🏻🙏🏻 Soal nya kemarin² sempet bisa tp saya coba td pagi tiba² gk bisa skrng ...",Positif
W Gaming,5,2023-04-07 04:10:55,"Game nya sudah bagus tidak terlalu jauh berbeda dengan game Ragnarok yang lainnya tetapi masih saya masih sering mengalami crash ya mungkin di karenakan masih awal perilisan jadi banyak bug yang harus di perbaiki overall gameplay menarik dan menyenangkan, untuk bug crash nya saat cutscane tolong segera di perbaiki",Positif
Risang Aji dharma,1,2023-04-06 23:46:23,"Ada bug yang cukup menjengkelkan yaitu setiap klik apapun itu langsung stuck ga bisa di klik-klik,mau klik pengaturan/setting ga bisa,dan juga setiap mau pindah tempat atau map stuck di loading screen 0%,ga jalan2 itu bikin kesel player tolong di perbaiki lagi!!!saya tau ini game masi baru jadi banyak yang kurang,semoga kedepannya lebih baik lagi...!",Negatif
M. Surya Pradipta,5,2023-04-12 00:56:27,"Saya pakai PC, meng-klik orang atau NPC secara manual sulit. Perspektif layar tidak bisa rotate seleluasa di hp. Forging equipment gagal padahal bahan lengkap, ada peringatan katanya terlalu jauh dari NPC. Meng-klik tombol apapun kurang resposif, 5x kllik baru tereksekusi, jadi buang-buang waktu dan cukup membikin emosi. Semoga bug-bug tersebut lekas dibereskan.",Positif
Rizky Nandhika,2,2023-08-19 16:19:18,Kenapa malah jadi download ulang setelah update?!!! Dan selalu mengulang dari awal saat sampai di 3GB!!!,Negatif
digdoyo wicaksono,1,2023-08-22 00:16:22,"Setelah update 4gb, tidak bisa login kembali ke ingame tolong di perbaiki",Negatif
Daniel,4,2023-08-27 09:42:14,Sudah bisa login. Namun kdepan saya harap perbaikan koneksi yg sering putus.,Positif
Tuanmuda Farla,5,2023-09-04 02:57:22,"Game nya seru nostalgia lagi, cumak minta tolong di perbaiki lagi sering tekeluar sendiri",Positif
Jhonson Luo,1,2023-08-23 01:06:06,"Setelah update yang 3 gb, gak bisa login..tombol login nya hilang",Negatif
Theo Limondo,3,2023-08-24 00:32:06,Download update sudah 80% trputus lalu mulai dari awal lagi download nya sudah 4x seperti itu parahh,
Risky Duta Ramadhan,4,2023-08-20 06:21:16,Ini habis update kenapa game ga bisa di mainin ya? Apa lgsg maintenance?,Positif
muhammad arsyad,5,2023-08-22 22:49:36,"Sekedar memberi saran, untuk odincup temen temen harus uninstall terlebih dahulu, baru install lagi terus download lagi, kalo ga seperti itu, nggak bakal bisa",Positif
Mus Mus,5,2023-08-21 10:39:55,"setelah update malah ngebug ndak bisa login, tolong dibantu ya",Positif
Putra Gunawan,1,2023-08-23 15:24:02,"Gangguan terus, sdah 3 hari ga bisa log in.. uninstal aja kali yaa",Negatif
Patrick Oley,4,2023-08-30 01:11:32,"hadehhhh tiba"" download data lagi udh ke 3x nya loh ini, mana lagi ngk ad paket data ;)",Positif
Yuddy Kurnia,2,2023-08-19 05:01:16,"Ko update yg baru tiap mau kelar, ngulang terus update nya? Apa skrng ga bisa maen di hp?",Negatif
Boruto Naruto The Next Generation,3,2023-08-21 02:09:56,kenapa sering stuck ya? pas tiap mau masuk ruangan stuck gak bisa pencet apa² alhasil gw keluar,
drajat prasetyo,5,2023-08-23 07:50:06,"Update kali ini tidak bisa di download, selalu terputus di 3,283 GB, sudah 3x, dire install bisa",Positif
Panel TV,3,2023-08-21 03:49:17,Tak bisa update baik menggunakan wifi atau jaringan selulas,
zaskia,4,2023-09-05 09:17:08,Game nya bagus tapi pas baru main harus download update sampai kuota bisa habis 4/5GB,Positif
Aries Set,1,2023-08-20 18:04:57,setelah update ga bisa masuk game tolong di perbaiki,Negatif
Mhd Iqbal,1,2023-08-23 08:26:19,"Bangke, update 4 GB.. udh smpai 4 GB malah ngulang LG update ny..",Negatif
Fredy Liu,3,2023-08-31 13:04:00,Tiap 3-5hari mw update trs 2-3.5GB lg jadi kalo mau main harus nunggu lama bgt br bs login,
Banunanda Dwi Putra,2,2023-08-03 11:49:09,Game mobile tapi ga mobile..makin kesini makin berat..loading lama oi..kalah bersaing sama yg pake PC..sering dikatain afk padahal loading blum slese,Negatif
Hafiyyan Gardita,5,2023-07-30 14:42:01,Game-nya bagus & bagus untuk mengisi waktu. Karena saya belum ada pengalaman main RO sebelumnya jadi terasa rumit. Dan juga game-nya boros baterai,Positif
JostGordian Manullang,1,2023-05-25 09:09:07,"Baru update, mau masuk ada peringatan kendala belum update aneh. Ini sudah 2 kali uninstall trus download lagi, kalo sudah 3 kali kasih gagal langsung hapus sekalian. Kumpulin fragment blue print susahnya minta ampun, party buat hhh susah. Sekali masuk hhh menang belum tentu dapat mentok koin doang dptnya. Masalah jaringan server selalu merah bahkan sering terputus, padahal sinyal WiFi rumah saya full stabil bahkan nonton YouTube kualitas 1080 piksel Lancar tanpa buffering. Bisa jelaskan???",Negatif
Muh Rafli,5,2023-04-07 07:47:50,Bagus dri segi grafis battle game dan event. Tolong bahasanya di ratain misal indo ya indo jgn di campur aduk. Trs juga pas set auto questnya kadang suka jalan tpi malah lurus trs ampe mentok mentok mslah. Coba di perbaiki lagi,Positif
Queen Vanya,4,2023-05-16 11:48:34,"Permainan nya seru dan menyenangkan, aku yang gak suka sama game yang ada scene tarung nya bisa suka sama game ini karena emang dari segi karakter, plot, dan lain sebagainya itu udah bagus banget dan game ini tu bikin nagih. Walau kadang sering kesel karena kadang susah buat di gerakin dan sering kalo sinyalnya susah bentar langsung ngulang walau cuma pas bagian pertarungan nya aja, tapi tetep kesel",Positif
MusimTebu !,2,2023-08-20 05:46:44,Setelah update tidak bisa masuk ke pilib character,Negatif
Aditya Saputra,4,2023-04-18 11:42:12,"gameplay mengingatkan saya nostalgia waktu tahun 2006an awal main game online, secara grafis, game sangat bagus, untuk developerny tolong BUG nya di perbaiki sangat mengganggu karena udah login lama di tambah BUG jadi kesan nya agak berkurang. semoga segera di perbaiki",Positif
yafkhan imam,1,2023-08-22 04:02:15,"Parah ngebug updated nya, sudah penuh terus balik lagi 0, saya pensi deh, terimakasih.",Negatif
vicky novaldy,3,2023-04-09 04:53:31,Grafiknya lebih bagus dan joy stick. Semoga event nya bagus2 dan saya turunin ratingnya 2 aja coz auto battle. Bug dan crash ... tombol nya wih banyak ... visualnx dikit banget. jadi maennya ngebot kayak ngemob lvl .,
gusti rasta,1,2023-04-21 05:06:48,"Game nya udah Bagus, tapi Bug di mana"" bukan hp gua yang kentang tapi Dari Game nya sendiri, soalnya hp gua Ram 8 wifi lancar. tapi kenapa ngebug. inti nya ini game terlalu banyak Bug, dan harus banyak perbaikannya,Yg paling kesel Stak di loading!",Negatif
Chemonk Official,1,2023-07-31 02:52:37,"Koneksi jelek sering dc dc ga jelas, pas woe lag parah. Dasar game ampas. Makin di komplen malah makin parah.",Negatif
Xpay Sempaiy,4,2023-08-30 10:49:13,"Game nya tuh seru bgt kaya anim gt vitur nya jg menarik gambarnya bagus bagus tp ad 1 kekurangannya pas awal masuk tuh kaya rambutnya/matanya itu kurang menarik dan yg lain seru"" aj cmn itu sih plus banyak bug dan misinya",Positif
Muhammad Rafif Fatra (Lacuk001),1,2023-09-05 07:52:59,"sudah kejadian 2x kalau update malah bug, reinstall baru bener.. saya meragukan update dari playstore.. dan selama versi di playstore 6.1.2 saya tidak akan pernah update selama masih bisa main tanpa update dari sini..",Negatif
Ando ra,4,2023-04-08 10:09:06,"Gamenya sih lumayan bagus tapi ada bug atau bukan yang dimana saat kita masuk/login ke gamenya suka lag gitu dan di gameplaynya Juga suka patah patah padahal udah saya turunin ke low grafik nya, dan juga kadang ada karakter yang gak ke render jadi di saat ngobrol dengan npc,npcnya gak ada wujudnya",Positif
Firman Nurzaman,1,2023-04-20 12:57:03,Untuk hp oppo F7 masih belum support dan banyak sekali gangguan lag. Setiap kali klik quest maupun ganti wilayah selalu harus close apps terlebih dahulu baru buka apps lagi. Itu juga bisa berulang sampai 5 kali proses hingga akhirnya terbuka. Kalau seperti itu tolong di infokan dari awal hp dengan android 10 belum mumpuni untuk apps ini. THOLOL! GHOBLOK! BHEGO! BHADJINGAN KAU!,Negatif
Bayu Prasetyo,5,2023-05-17 10:34:38,"Game RPG sesuai dengan ekspektasi saya walaupun Device agak Rendah, game Sesuai seperti Saya menonton Anime/KomikGame seperti ini, ini yang saya cari dari dulu game Seperti ini👍👍👍👍👍👍👍👍👍👍. Mungkin kekurangannya kadang Ngframe/patah"" padahal 60fps, bukan karena Hp saya yang Lemot. Tolong developer nya di perbaiki lagi biar nyaman Pemainnya dan betah.",Positif
Dark-on-Kitsune Keylie,1,2023-04-09 08:43:29,"sering ngebug, tombol di layar hilang setelah mencet skill atau saat mati juga gak bisa ditekan apa2. setelah baca komentar lain, ternyata banyak yang ngalamin hal yang sama, jadi nyesel download game ini, respon dari developer juga gak ada tuh, gak niat developer nya .. yang mau download game ini saran saya nanti dulu deh, masih banyak bug diawal game yg bikin permainan nge-stuck gak bisa ngelanjutin permainan",Negatif
Zhaky Kurnia Pratama,5,2023-07-23 03:17:35,"Gamenya seru, dari musiknya tenang, grafik bagus, eventnya asik, karakternya juga bagus, bintang 5 dah",Positif
